1,How’s it going?
2,What’s for dinner?
3,What’s happening this weekend?
4,Do you have any plans for today?
5,Are you busy or are you free to chat?
6,Where are my keys?
7,What are you getting up to this weekend?
8,Are you keen to get together on Saturday?
9,You’re joking?
10,Have you got much going on these days?
11,How’s your workday looking?
12,Should we grab a bite to eat?
13,Would you like to grab a coffee this afternoon?
14,Would you mind helping me quickly?
15,What are you up to?
16,Could you give me a lift?
17,Can I help you with anything?
18,What time are you getting home today?
19,Should we eat out tonight?
20,How does pizza sound?
21,What do you feel like doing?
22,What are you watching?
23,What are you reading?
24,Are you keen to catch a movie tonight?
25,What are you thinking about?
26,Have you fed the dogs?
27,What do you want to do?
28,What do you want to eat?
29,Can I make you some coffee?
30,Where are you going?
31,Should I take the dog for a walk?
32,How much does it cost?
33,Do you want to meet up next week?
34,We could do dinner on Wednesday night?
35,What’s on your mind?
36,What’s eating you?
37,Do you have a minute?
38,Is everything OK?
39,How was your weekend?
40,How are you feeling today?
41,What time did you get up?
42,What time do we need to be there?
43,What time is your flight?
44,You coming?
45,No worries.
46,Long time no see!
47,Drive safe.
48,Call me when you get home.
49,Don’t forget to buy milk.
50,Call me back when you get a chance.
51,That’s so annoying/frustrating/wonderful/exciting.
52,He’s forever complaining about this country.
53,On my way!
54,Be right back.
55,I’m just popping out quickly.  I’ll be back in an hour.
56,I’m exhausted today.
57,How stunning is the weather today!
58,It’s on the tip of my tongue but I can’t remember.
59,No thanks.
60,"Yes, please!"
61,I’ll check if I’m free.
62,It’s been one of those days.
63,Don’t jinx it!
64,Thanks a million.
65,Don’t worry about it.
66,No sweat off my back.
67,I’d rather stay at home tonight.
68,What miserable weather we’re having!
69,Don’t stress.
70,It doesn’t matter.
71,It’s not important.
72,Don’t let it bother you too much.
73,All good.  Can’t complain.
74,I see where you’re coming from.
75,I don’t agree.
76,100%  That’s exactly how I feel.
77,I really hope so.
78,I doubt it.
79,Never better!
80,Let's get going or we'll be late.
81,Please be quiet for a second.
82,They’re making so much noise!
83,I can’t concentrate.
84,I can’t think straight.
85,I can’t wait to unwind this weekend.
86,Things are looking up!
87,"Well, at least things couldn’t get worse."
88,"So far, so good."
89,It’s all good.
90,What a waste of time.
91,I need to go to the shops today.
92,Let me know if you need anything.
93,I would love to!
94,I don’t feel like it.
95,Bless you!
96,You’re being ridiculous!
97,Just let it go.
98,It’s OK.
99,Thank you.
100,Let’s do it!